SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Throw Stone,1,original,9,0
Corroded Axe,1,god,-1,7
Elbow Strike,5,original,9,0
Blunt Axe,5,god,-1,7
Leg Strike,8,god,10,7
Focused Will Discipline,10,original,5,0
Steel Axe,10,god,-1,7
Bearded Axe,15,god,-1,7
Head Strike,16,god,10,7
Mithril Axe,20,god,-1,7
Divertive Strike,24,god,2,7
Balanced War Axe,25,god,-1,7
Resistant Discipline,30,original,5,0
Bonesplicer Axe,30,god,-1,7
Battle Cry,30,god,9,7
Leg Cut,32,god,10,7
Fleshtear Axe,35,god,-1,7
Fearless Discipline,40,original,5,0
Head Pummel,40,god,10,7
Cold Steel Cleaving Axe,40,god,-1,7
Mithril Bloodaxe,45,god,-1,7
Distracting Strike,48,god,2,7
Rage Axe,50,god,-1,7
War Cry,50,god,9,7
Inspired Anger Discipline,53,god,4,7
Leg Slice,54,god,10,7
Cleaving Rage Discipline,54,god,4,7
Bloodseeker's Axe,55,god,-1,7
Aura of Rage,55,por,1,11
Reckless Discipline,56,god,3,7
Battle Cry of Dravel,57,god,9,7
Focused Fury Discipline,57,god,4,7
Blind Rage Discipline,58,god,4,7
Battle Focus Discipline,59,god,3,7
Head Crush,60,god,10,7
Battlerage Axe,60,god,-1,7
Burning Rage Discipline,60,god,4,7
Sprint Discipline,61,god,5,7
Rage Volley,61,don,2,9
Healing Will Discipline,63,god,5,7
Indomitable Discipline,63,god,3,7
War Cry of Dravel,64,god,9,7
Confusing Strike,65,god,2,7
Deathfury Axe,65,god,-1,7
Battle Cry of the Mastruq,65,god,9,7
Ancient Cry of Chaos,65,god,9,7
Cleaving Anger Discipline,65,god,3,7
Tainted Axe of Hatred,65,god,-1,7
Axe of the Destroyer,66,oom,-1,8
Unpredictable Rage Discipline,66,oom,7,8
Crippling Strike,67,oom,10,8
Mind Strike,68,oom,10,8
Unflinching Will Discipline,68,oom,5,8
Cry Havoc,68,dod,1,10
Baffling Strike,69,oom,2,8
Destroyer's Volley,69,don,2,9
Vengeful Flurry Discipline,70,oom,6,8
Bloodthirst,70,por,9,11
Bloodlust Aura,70,por,1,11
Axe of the Annihilator,71,tss,-1,12
Tendon Cleave,71,tss,10,12
Unsettling Scream,72,tss,10,12
Second Wind,72,tbs,13,13
Temple Blow,73,tss,10,12
Jarring Strike,74,tss,2,12
Annihilator's Volley,74,tbs,2,13
Berserking Discipline,75,tss,4,12
Axe of the Decimator,76,sof,-1,14
Tendon Sever,76,sof,10,14
Agitating Scream,77,sof,10,14
Third Wind,77,sof,13,14
Temple Strike,78,sof,10,14
Jarring Smash,79,sof,2,14
Decimator's Volley,79,sof,2,14
Battle Frenzy,80,sof,11,14
Overpowering Frenzy,81,sod,12,15
Axe of the Eradicator,81,sod,-1,15
Tendon Shear,81,sod,10,15
Distressing Scream,82,sod,10,15
Fourth Wind,82,sod,13,15
Temple Bash,83,sod,10,15
Blood Hatchet,83,sod,1,15
Vigorous Axe Throw,83,uf,10,16
Jarring Clash,84,sod,2,15
Eradicator's Volley,84,sod,2,15
Combat Frenzy,85,sod,11,15
Axe of Rallos,85,uf,17,16
Shared Bloodlust,85,uf,14,16
Respite,86,hot,13,17
Axe of the Savage,86,hot,-1,17
Cleaving Acrimony Discipline,86,hot,3,17
Overwhelming Frenzy,86,hot,12,17
Tendon Lacerate,86,hot,10,17
Fifth Wind,87,hot,13,17
Distracting Scream,87,hot,10,17
Slap in the Face,87,hot,9,17
Blood Axe,88,hot,1,17
Energetic Axe Throw,88,hot,10,17
Temple Chop,88,hot,10,17
Avenging Flurry Discipline,89,hot,6,17
