SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Chant of Battle,1,original,0,0
Chant of Magic,1,original,0,0
Chant of Flame,1,original,0,0
Chant of Frost,1,original,0,0
Chant of Venom,1,pop,0,4
Chant of Plague,1,pop,0,4
Chant of Chaos,1,god,0,7
Chords of Dissonance,2,original,0,0
Lyssa's Locating Lyric,4,original,0,0
Selo's Accelerando,5,original,0,0
Hymn of Restoration,6,original,0,0
Jonthan's Whistling Warsong,7,original,0,0
Kelin's Lugubrious Lament,8,original,0,0
Elemental Rhythms,9,original,0,0
Magical Monologue,9,sol,0,3
Anthem de Arms,10,original,0,0
Cinda's Charismatic Carillon,11,original,0,0
Brusco's Boastful Bellow,12,original,0,0
Purifying Rhythms,13,original,0,0
Lyssa's Cataloging Libretto,14,original,0,0
Kelin's Lucid Lullaby,15,original,0,0
Song of Sustenance,15,sol,0,3
Tarew's Aquatic Ayre,16,original,0,0
Guardian Rhythms,17,original,0,0
Denon's Disruptive Discord,18,original,0,0
Shauri's Sonorous Clouding,19,original,0,0
Largo's Melodic Binding,20,original,0,0
Cassindra's Chant of Clarity,20,sov,0,2
Melanie's Mellifluous Motion,21,original,0,0
Alenia's Disenchanting Melody,22,original,0,0
Selo's Consonant Chain,23,original,0,0
Lyssa's Veracious Concord,24,original,0,0
Psalm of Warmth,25,original,0,0
Selo's Rhythm of Speed,25,ldon,0,6
Angstlich's Appalling Screech,26,original,0,0
Solon's Song of the Sirens,27,original,0,0
Crission's Pixie Strike,28,original,0,0
Psalm of Vitality,29,original,0,0
Fufil's Curtailing Chant,30,original,0,0
Amplification,30,sol,0,3
Agilmente's Aria of Eagles,31,original,0,0
Cassindra's Chorus of Clarity,32,original,0,0
Psalm of Cooling,33,original,0,0
Lyssa's Solidarity of Vision,34,original,0,0
Cantata of Soothing,34,sov,0,2
Denon's Dissension,35,original,0,0
Vilia's Verses of Celerity,36,original,0,0
Psalm of Purity,37,original,0,0
Tuyen's Chant of Flame,38,original,0,0
Solon's Bewitching Bravura,39,original,0,0
Katta's Song of Sword Dancing,39,sol,0,3
Syvelian's Anti-Magic Aria,40,original,0,0
Sionachie's Dreams,40,sol,0,3
Psalm of Mystic Shielding,41,original,0,0
McVaxius' Berserker Crescendo,42,original,0,0
Tuyen's Chant of Disease,42,pop,0,4
Denon's Desperate Dirge,43,original,0,0
Cassindra's Elegy,44,original,0,0
Jonthan's Provocation,45,original,0,0
Aria of Asceticism,45,loy,0,5
Rizlona's Embers,45,ldon,0,6
Tuyen's Chant of Frost,46,original,0,0
Niv's Melody of Preservation,47,original,0,0
Selo's Chords of Cessation,48,original,0,0
Shield of Songs,49,sov,0,2
Selo's Accelerating Chorus,49,sol,0,3
Verses of Victory,50,original,0,0
Melody of Ervaj,50,sov,0,2
Tuyen's Chant of Poison,50,pop,0,4
Resistant Discipline,51,original,5,0
Selo's Song of Travel,51,rok,0,1
Largo's Assonant Binding,51,rok,0,1
Nillipus' March of the Wee,52,rok,0,1
Battlecry of the Vah Shir,52,sol,0,3
Aria of Innocence,52,loy,0,5
Song of Twilight,53,rok,0,1
Song of Dawn,53,rok,0,1
Rizlona's Fire,53,ldon,0,6
Fearless Discipline,54,original,5,0
Vilia's Chorus of Celerity,54,rok,0,1
Selo's Assonant Strain,54,rok,0,1
Elemental Chorus,54,sol,0,3
Brusco's Bombastic Bellow,55,rok,0,1
Cantata of Replenishment,55,rok,0,1
Occlusion of Sound,55,sov,0,2
Deftdance Discipline,55,sov,2,2
Aura of Insight,55,por,0,11
Song of Highsun,56,rok,0,1
Song of Midnight,56,rok,0,1
Purifying Chorus,56,sol,0,3
McVaxius' Rousing Rondo,57,rok,0,1
Cassindra's Insipid Ditty,57,rok,0,1
Soothing Psalm of the Sunrise,57,eok,0,23
Jonthan's Inspiration,58,rok,0,1
Niv's Harmonic,58,rok,0,1
Dreams of Ayonae,58,sol,0,3
Chorus of Replenishment,58,sol,0,3
Denon's Bereavement,59,rok,0,1
Solon's Charismatic Concord,59,rok,0,1
Angstlich's Assonance,60,rok,0,1
Kazumi's Note of Preservation,60,rok,0,1
Ancient Lcea's Lament,60,sov,0,2
Composition of Ervaj,60,sov,0,2
Puretone Discipline,60,sov,3,2
Ancient Lullaby of Shadow,60,sol,0,3
Warsong of the Vah Shir,60,sol,0,3
Ervaj's Lost Composition,60,sol,0,3
Fufil's Diminishing Dirge,60,ldon,0,6
Silent Song of Quellious,61,pop,0,4
Tuyen's Chant of the Plague,61,pop,0,4
Saryrn's Scream of Pain,61,pop,0,4
Song of the Storm,61,don,0,9
Dreams of Thule,62,pop,0,4
Druzzil's Disillusionment,62,pop,0,4
Melody of Mischief,62,pop,0,4
Warsong of Zek,62,pop,0,4
Wind of Marr,62,pop,0,4
Angstlich's Echo of Terror,62,don,0,9
Psalm of Veeshan,63,pop,0,4
Tuyen's Chant of Venom,63,pop,0,4
Tuyen's Chant of Ice,63,pop,0,4
Requiem of Time,64,pop,0,4
Rizlona's Call of Flame,64,pop,0,4
Dreams of Terris,64,pop,0,4
Call of the Banshee,64,pop,0,4
Chorus of Marr,64,pop,0,4
Tuyen's Chant of Fire,65,pop,0,4
Harmony of Sound,65,pop,0,4
Lullaby of Morell,65,pop,0,4
Call of the Muse,65,ldon,0,6
War March of the Mastruq,65,god,0,7
Echo of the Trusik,65,god,0,7
Dark Echo,65,god,0,7
Ancient Chaos Chant,65,god,0,7
Luvwen's Aria of Serenity,66,oom,0,8
Vulka's Chant of Disease,66,oom,0,8
Bellow of Chaos,66,oom,0,8
Selo's Accelerato,66,eok,0,23
Luvwen's Lullaby,67,oom,0,8
Zuriki's Song of Shenanigans,67,oom,0,8
Cantata of Life,67,oom,0,8
Vulka's Chant of Frost,67,oom,0,8
Angstlich's Wail of Panic,67,oom,0,8
War March of Muram,68,oom,0,8
Vulka's Chant of Poison,68,oom,0,8
Yelhun's Mystic Call,68,oom,0,8
Dirge of Metala,68,oom,0,8
Creeping Dreams,68,dod,0,10
Verse of Vesagran,69,oom,0,8
Eriki's Psalm of Power,69,oom,0,8
Chorus of Life,69,oom,0,8
Storm Blade,69,don,0,9
Thousand Blades,69,dod,3,10
Voice of the Vampire,70,oom,0,8
Vulka's Chant of Flame,70,oom,0,8
Vulka's Lullaby,70,oom,0,8
Ancient Call of Power,70,oom,0,8
Arcane Aria,70,por,0,11
Aura of the Muse,70,por,0,11
Whispersong of Veshma,71,tss,0,12
Aelfric's Last Lullaby,71,tss,0,12
Erollisi's Cantata,71,tss,0,12
Jonthan's Mightful Caretaker,71,tbs,0,13
Ervaj's Defensive Refrain,72,tss,0,12
Weshlu's Chillsong Aria,72,tss,0,12
Song of the Dryads,72,tss,0,12
Fermata of Preservation,73,tss,0,12
Performer's Psalm of Pyrotechnics,73,tss,0,12
Erollisi's Chorus,73,tss,0,12
Aviak's Wondrous Warble,73,tbs,0,13
Minohten's Purifying Panpipes,74,tss,0,12
Beckon of the Tuffein,74,tss,0,12
Queen Eletyl's Screech,74,tss,0,12
Selo's Accelerating Canto,74,eok,0,23
Staccato Rhythms,75,tss,0,12
Veshma's Lively Crescendo,75,tss,0,12
Denon's Dirge of Destruction,75,tss,0,12
Staccato Cadence,75,tbs,0,13
Elddar's Dawnsong,76,sof,0,14
Amber's Last Lullaby,76,sof,0,14
Cantata of Restoration,76,sof,0,14
Aria of the Artist,76,sof,0,14
Vyskudra's Chant of Disease,76,sof,0,14
Garadell's Fatesong,77,sof,0,14
Dirge of the Darkvine,77,sof,0,14
Zeixshi-Kar's Chant of Frost,77,sof,0,14
Rhythm of Restoration,77,sof,0,14
Performer's Explosive Aria,78,sof,0,14
Chorus of Restoration,78,sof,0,14
Coldcrow's Spry Sonata,78,sof,0,14
Erradien's Psalm of Potency,78,sof,0,14
Kildrukaun's Chant of Poison,78,sof,0,14
Kirathas' Cleansing Clarinet,79,sof,0,14
Yowl of the Bloodmoon,79,sof,0,14
Command of Queen Veneneu,79,sof,0,14
War March of Meldrath,79,sof,0,14
Kaerra's Spirited Crescendo,80,sof,0,14
Denon's Dirge of Devastation,80,sof,0,14
Tjudawos' Chant of Flame,80,sof,0,14
Arcane Anthem,80,sof,0,14
Aura of the Artist,80,sof,0,14
Silence of the Void,81,sod,0,15
Serenity of Oceangreen,81,sod,0,15
Cantata of Rodcet,81,sod,0,15
Aria of the Poet,81,sod,0,15
Trakanon's Chant of Disease,81,sod,0,15
Requiem for the Lost,81,sod,0,15
Fatesong of the Gelidran,82,sod,0,15
Dirge of the Fallen Rathe,82,sod,0,15
Gorenaire's Chant of Frost,82,sod,0,15
Pulse of Rodcet,82,sod,0,15
Aura of Rodcet,82,sod,0,15
Talendor's Aria,83,sod,0,15
Chorus of Rodcet,83,sod,0,15
Dance of the Dragorn,83,sod,0,15
Druzzil's Psalm of Potency,83,sod,0,15
Severilous' Chant of Poison,83,sod,0,15
Pests of the Piper,83,sod,5,15
Firiona's Blessed Clarinet,84,sod,0,15
Voice of the Mindshear,84,sod,0,15
Slumber of the Mindshear,84,sod,0,15
War March of Brekt,84,sod,0,15
Mirror Melody,84,sod,8,15
Gruber's Lively Crescendo,85,sod,0,15
Denon's Dirge of Discord,85,sod,0,15
Talendor's Chant of Flame,85,sod,0,15
Arcane Arietta,85,sod,0,15
Aura of the Poet,85,sod,0,15
Cantata of Courage,85,sod,0,15
Wave of Slumber,85,uf,0,16
Venimor's Insult,85,uf,3,16
Autarchian Mindwrack,85,uf,0,16
Aria of Amelioration,86,hot,0,17
Aria of the Composer,86,hot,0,17
Lullaby of the Lost,86,hot,0,17
Pulse of Renewal,86,hot,0,17
Rumbling Barrier,86,hot,0,17
Shiverback's Chant of Disease,86,hot,0,17
Silence of the Dreamer,86,hot,0,17
Song of Recalcitrance,86,hot,0,17
Aura of Renewal,87,hot,0,17
Dirge of Dreams,87,hot,0,17
Echo of Renewal,87,hot,0,17
Fatesong of Fergar,87,hot,0,17
Fergar's Chant of Frost,87,hot,0,17
Sionachie's Sympathetic Psalm,87,hot,0,17
Alleviating Accelerando,88,hot,0,17
Chorus of Renewal,88,hot,0,17
Lyrin's Psalm of Potency,88,hot,0,17
Sionachie's Spry Sonata,88,hot,0,17
Sotor's Aria,88,hot,0,17
Spinechiller's Chant of Poison,88,hot,0,17
Noira's Song of Suffering,89,hot,0,17
Slumber of Sionachie,89,hot,0,17
Voice of Sionachie,89,hot,0,17
War March of Dagda,89,hot,0,17
Arcane Chorus,90,hot,0,17
Aura of the Composer,90,hot,0,17
Denon's Dirge of Disruption,90,hot,0,17
Echo of the Composer,90,hot,0,17
Lyrin's Insult,90,hot,6,17
Lyrin's Spiteful Lyric,90,hot,0,17
