SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Salve,1,god,0,7
Sense Animals,2,original,0,0
Endure Cold,3,original,0,0
Cure Disease,4,original,0,0
Flash of Light,5,original,0,0
Minor Healing,6,original,0,0
Inner Fire,7,original,0,0
Spirit of Sharik,8,sol,0,3
Endure Fire,9,original,0,0
Sharik's Replenishing,9,sol,0,3
Scale Skin,10,original,0,0
Fleeting Fury,11,original,0,0
Blast of Frost,12,sol,7,3
Cure Poison,13,original,0,0
Spirit of Lightning,13,sol,0,3
Strengthen,14,original,0,0
Sicken,14,original,0,0
Keshuval's Rejuvenation,15,sol,0,3
Spirit of Khaliz,15,sol,0,3
Serpent Sight,16,original,0,0
Summon Drink,17,original,0,0
Spirit of Bear,17,original,0,0
Light Healing,18,original,0,0
Endure Poison,18,original,0,0
Spirit of the Blizzard,18,sol,0,3
Tainted Breath,19,original,0,0
Tiny Companion,19,pop,0,4
Drowsy,20,original,0,0
Spirit of Keshuval,21,sol,0,3
Endure Disease,22,original,0,0
Shrink,23,original,0,0
Spirit of Wolf,24,original,0,0
Enduring Breath,25,original,0,0
Spirit Strike,26,original,0,0
Turtle Skin,26,original,0,0
Herikol's Soothing,27,sol,0,3
Healing,28,original,0,0
Spirit Strength,28,original,0,0
Spirit of Inferno,28,sol,0,3
Summon Food,29,original,0,0
Spirit Sight,29,original,0,0
Spirit of Herikol,30,sol,0,3
Summon Companion,31,sov,0,2
Levitate,32,original,0,0
Ice Spear,33,pop,11,4
Endure Magic,34,original,0,0
Cancel Magic,35,original,0,0
Envenomed Breath,35,original,0,0
Yekan's Recovery,36,sol,0,3
Spirit of Ox,37,original,0,0
Yekan's Quickening,37,sol,0,3
Greater Healing,38,original,0,0
Spirit of Monkey,38,original,0,0
Spirit of the Scorpion,38,sol,0,3
Spirit of Yekan,39,sol,0,3
Spirit of the Shrew,39,ldon,0,6
Malaria,40,loy,0,5
Raging Strength,41,original,0,0
Spiritual Light,41,sol,0,3
Spiritual Brawn,42,sol,0,3
Invisibility,43,original,0,0
Listless Power,44,original,0,0
Pack Shrew,44,ldon,0,6
Counteract Disease,45,original,0,0
Spirit of Kashek,46,sol,0,3
Spirit of Vermin,46,sol,0,3
Frenzy,47,original,0,0
Frost Shard,47,pop,7,4
Protect,48,original,0,0
Spirit Salve,48,original,0,0
Vigor of Zehkes,49,sol,0,3
Ward of Calliav,49,ldon,10,6
Sha's Lethargy,50,sol,0,3
Resistant Discipline,51,original,5,0
Ultravision,51,original,0,0
Resist Disease,51,original,0,0
Spirit of Wind,51,sol,0,3
Health,52,original,0,0
Venom of the Snake,52,original,0,0
Spiritual Radiance,52,sol,0,3
Aid of Khurenz,52,sol,0,3
Bond of the Wild,52,loy,0,5
Deftness,53,original,0,0
Talisman of Tnarg,53,original,0,0
Spirit of the Storm,53,sol,0,3
Fearless Discipline,54,original,5,0
Resist Poison,54,original,0,0
Furious Strength,54,original,0,0
Spirit of Omakin,54,sol,0,3
Spirit of Snow,54,sol,0,3
Ice Shard,54,pop,11,4
Chloroplast,55,original,0,0
Sha's Restoration,55,sol,0,3
Omakin's Alacrity,55,sol,0,3
Protective Spirit Discipline,55,sol,2,3
Incapacitate,56,original,0,0
Shifting Shield,56,original,0,0
Spirit of Zehkes,56,sol,0,3
Spirit of Flame,56,sol,0,3
Dexterity,57,original,0,0
Stamina,57,original,0,0
Nullify Magic,58,original,0,0
Talisman of Altuna,58,original,0,0
Spirit of Khurenz,58,sol,0,3
Guard of Calliav,58,ldon,10,6
Blizzard Blast,59,original,0,0
Chloroblast,59,sov,0,2
Sha's Ferocity,59,sol,0,3
Spiritual Purity,59,sol,0,3
Alacrity,60,original,0,0
Spiritual Strength,60,sol,0,3
Spirit of Khati Sha,60,sol,0,3
Savagery,60,sol,9,3
Sha's Advantage,60,sol,0,3
Bestial Fury Discipline,60,sol,3,3
