SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Flash of Light,1,original,0,0
Minor Healing,1,original,0,0
Cure Poison,1,original,0,0
Holy Armor,1,original,0,0
Strike,1,original,0,0
Courage,1,original,0,0
True North,1,original,0,0
Divine Aura,1,original,15,0
Lull,1,original,0,0
Spook the Dead,1,original,0,0
Yaulp,1,original,0,0
Reckless Strength,2,original,0,0
Stun,2,original,5,0
Summon Drink,3,original,0,0
Cure Blindness,3,original,0,0
Cure Disease,4,original,0,0
Light Healing,4,original,0,0
Ward Undead,4,original,0,0
Gate,5,original,0,0
Soothe,5,original,0,0
Furor,5,original,0,0
Endure Poison,6,original,0,0
Fear,6,original,0,0
Sanctuary,6,sol,0,3
Center,7,original,0,0
Hammer of Wrath,7,original,0,0
Root,7,original,0,0
Endure Fire,8,original,0,0
Summon Food,8,original,0,0
Remove Minor Curse,8,ldon,0,6
Sense the Dead,9,original,0,0
Word of Pain,9,original,0,0
Healing,10,original,0,0
Bind Affinity,10,original,0,0
Iony's Lesser Augury,10,ldon,0,6
Endure Disease,11,original,0,0
Invisibility Versus Undead,11,original,0,0
Symbol of Transal,11,original,0,0
Sense Summoned,12,original,0,0
Halo of Light,12,original,0,0
Reanimation,12,original,0,0
Endure Cold,13,original,0,0
Cancel Magic,13,original,0,0
Expulse Undead,13,original,0,0
Smite,14,original,0,0
Iony's Lesser Exorcism,14,ldon,0,6
Iony's Lesser Cleansing,14,ldon,0,6
Calm,15,original,0,0
Spirit Armor,15,original,0,0
Blessing of Piety,15,pop,0,4
Endure Magic,16,original,0,0
Yaulp II,16,original,0,0
Holy Might,16,original,0,0
Daring,17,original,0,0
Ward Summoned,17,original,0,0
Reconstitution,18,original,0,0
Word of Shadow,19,original,0,0
Celestial Remedy,19,sol,0,3
Greater Healing,20,original,0,0
Hammer of Striking,20,original,0,0
Ward of Vie,20,ldon,0,6
Inspire Fear,21,original,0,0
Wave of Fear,21,original,0,0
Symbol of Ryltan,21,original,0,0
Counteract Poison,22,original,0,0
Bravery,22,original,0,0
Reparation,22,original,0,0
Dismiss Undead,23,original,0,0
Remove Lesser Curse,23,ldon,0,6
Iony's Augury,23,ldon,0,6
Iony's Exorcism,24,ldon,0,6
Iony's Cleansing,24,ldon,0,6
Guard,25,original,0,0
Sermon of the Righteous,25,sol,0,3
Panic the Dead,26,original,0,0
Word of Spirit,26,original,0,0
Instill,27,original,0,0
Revive,27,original,0,0
Expulse Summoned,27,original,0,0
Counteract Disease,28,original,0,0
Abundant Drink,28,original,0,0
Divine Barrier,29,original,2,0
Wrath,29,original,0,0
Imbue Opal,29,original,0,0
Imbue Topaz,29,original,0,0
Imbue Plains Pebble,29,original,0,0
Imbue Amber,29,original,0,0
Imbue Sapphire,29,original,0,0
Imbue Ruby,29,original,0,0
Imbue Emerald,29,original,0,0
Imbue Black Pearl,29,original,0,0
Imbue Diamond,29,original,0,0
Imbue Rose Quartz,29,original,0,0
Imbue Black Sapphire,29,original,0,0
Imbue Peridot,29,original,0,0
Celestial Health,29,sol,0,3
Mass Imbue Amber,29,loy,0,5
Mass Imbue Black Pearl,29,loy,0,5
Mass Imbue Black Sapphire,29,loy,0,5
Mass Imbue Diamond,29,loy,0,5
Mass Imbue Emerald,29,loy,0,5
Mass Imbue Opal,29,loy,0,5
Mass Imbue Peridot,29,loy,0,5
Mass Imbue Plains Pebble,29,loy,0,5
Mass Imbue Rose Quartz,29,loy,0,5
Mass Imbue Ruby,29,loy,0,5
Mass Imbue Sapphire,29,loy,0,5
Mass Imbue Topaz,29,loy,0,5
Resist Poison,30,original,0,0
Superior Healing,30,original,0,0
Word of Health,30,original,0,0
Force,31,original,0,0
Symbol of Pinzarn,31,original,0,0
Frenzied Strength,31,original,0,0
Valor,32,original,0,0
Atone,32,original,0,0
Renewal,32,original,0,0
Abundant Food,33,original,0,0
Resist Fire,33,original,0,0
Expel Undead,33,original,0,0
Iony's Greater Augury,33,ldon,0,6
Blinding Luminance,34,original,0,0
Tremor,34,original,0,0
Armor of Protection,34,sov,0,2
Iony's Greater Exorcism,34,ldon,0,6
Iony's Greater Cleansing,34,ldon,0,6
Armor of Faith,35,original,0,0
Blessing of Faith,35,pop,0,4
Resist Disease,36,original,0,0
Pacify,36,original,0,0
Invoke Fear,36,original,0,0
Dismiss Summoned,37,original,0,0
Resuscitate,37,original,0,0
Turning of the Unnatural,37,sov,0,2
Nullify Magic,38,original,0,0
Resist Cold,38,original,0,0
Remove Curse,38,sol,0,3
Complete Heal,39,original,0,0
Word of Souls,39,original,0,0
Sacred Word,39,sol,0,3
Hammer of Requital,40,original,0,0
Temperance,40,loy,0,5
Guard of Vie,40,ldon,0,6
Yaulp III,41,original,0,0
Symbol of Naltron,41,original,0,0
Resolution,42,original,0,0
Restoration,42,original,0,0
Resist Magic,43,original,0,0
Banish Undead,43,original,0,0
Earthquake,44,original,3,0
Retribution,44,original,0,0
Celestial Healing,44,sov,0,2
Shield of Words,45,original,0,0
Word of Healing,45,original,0,0
Healing Light,45,original,0,0
Blessing of Temperance,45,ldon,0,6
Sound of Force,46,original,4,0
Immobilize,46,original,0,0
Resurrection,47,original,0,0
Expel Summoned,47,original,0,0
Abolish Poison,48,original,0,0
Improved Invisibility to Undead,48,sov,0,2
Word Divine,49,original,0,0
Armor of the Faithful,49,sol,0,3
Ward of the Divine,50,don,0,9
Remedy,51,rok,0,1
Dread of Night,51,rok,0,1
Death Pact,51,rok,0,1
Sunskin,51,rok,0,1
Pure Blood,51,loy,0,5
Word of Vigor,52,rok,0,1
Heroism,52,rok,0,1
Heroic Bond,52,rok,0,1
Heroic Bond,52,rok,0,1
Upheaval,52,rok,3,1
Epitaph of Life,52,sol,0,3
Eradicate Poison,52,rof,0,19
Annul Magic,53,rok,0,1
Divine Light,53,rok,0,1
Yaulp IV,53,rok,0,1
Symbol of Marzin,54,rok,0,1
Reckoning,54,rok,0,1
Unswerving Hammer of Faith,54,rok,0,1
Mark of Retribution,54,sol,0,3
Remove Greater Curse,54,sol,0,3
Protection of Vie,54,ldon,0,6
Eradicate Curse,54,rof,0,19
Exile Undead,55,rok,0,1
Fortitude,55,rok,0,1
Wake of Tranquility,55,rok,0,1
Stun Command,55,sov,0,2
Aura of the Zealot,55,por,0,11
Banish Summoned,56,original,0,0
Paralyzing Earth,56,original,0,0
Reviviscence,56,rok,0,1
Mark of Karn,56,rok,0,1
Hammer of Judgment,56,sol,0,3
Yaulp V,56,sol,0,3
Judgment,56,sol,0,3
Cower the Dead,56,don,0,9
Word of Restoration,57,rok,0,1
Trepidation,57,rok,0,1
Bulwark of Faith,57,rok,0,1
Aegis,57,rok,0,1
Ward of Rebuke,57,don,0,9
Antidote,58,rok,0,1
Enforced Reverence,58,rok,4,1
Naltron's Mark,58,rok,0,1
Ethereal Light,58,sol,0,3
Blessed Armor of the Risen,58,sol,0,3
Hammer of Divinity,58,sol,0,3
Eradicate Disease,58,rof,0,19
Celestial Elixir,59,rok,0,1
The Unspoken Word,59,rok,0,1
Ethereal Remedy,59,sol,0,3
Deistic Voice,59,don,0,9
Word of Redemption,60,rok,0,1
Banishment of Shadows,60,rok,0,1
Divine Intervention,60,rok,7,1
Aegolism,60,sov,0,2
Ancient High Priest's Bulwark,60,sov,0,2
Ancient Gift of Aegolism,60,sov,0,2
Ethereal Elixir,60,sol,0,3
Blessing of Aegolism,60,sol,0,3
Marzin's Mark,60,sol,0,3
Hammer of Souls,60,sol,0,3
Larger Reviviscence,61,pop,14,4
Faith,61,pop,0,4
Supernal Remedy,61,pop,0,4
Symbol of Kazad,61,pop,0,4
Ward of Gallantry,61,pop,0,4
Tarnation,61,pop,4,4
Ward of Vengeance,61,don,0,9
Death's Despair,61,don,0,9
Sermon of Penitence,62,pop,0,4
Greater Immobilize,62,pop,0,4
Virtue,62,pop,0,4
Blessing of Reverence,62,pop,0,4
Supernal Elixir,62,pop,0,4
Condemnation,62,pop,0,4
Bulwark of Vie,62,ldon,0,6
Kazad's Mark,63,pop,0,4
Hammer of Damnation,63,pop,0,4
Supernal Light,63,pop,0,4
Sound of Might,63,pop,6,4
Deistic Bellow,63,don,0,9
Petrifying Earth,64,pop,0,4
Destroy Undead,64,pop,0,4
Mark of Kings,64,pop,0,4
Word of Replenishment,64,pop,0,4
Catastrophe,64,pop,3,4
Imbue Valor,64,pop,0,4
Aura of Reverence,64,ldon,0,6
Yaulp VI,65,pop,0,4
Pacification,65,pop,0,4
The Silent Command,65,pop,5,4
Armor of the Zealot,65,pop,0,4
Mark of the Righteous,65,pop,0,4
Hand of Virtue,65,pop,0,4
Holy Light,65,god,0,7
Order,65,god,0,7
Holy Elixir,65,god,0,7
Ancient Chaos Censure,65,god,0,7
Confidence,66,oom,0,8
Pious Remedy,66,oom,0,8
Symbol of Balikor,66,oom,0,8
Ward of Valiance,66,oom,0,8
Shock of Wonder,66,oom,4,8
Sun Cloak,66,oom,0,8
Revulsion of Death,66,dod,0,10
Sermon of Reproach,67,oom,0,8
Conviction,67,oom,0,8
Blessing of Devotion,67,oom,0,8
Pious Elixir,67,oom,0,8
Reproach,67,oom,0,8
Panoply of Vie,67,oom,0,8
Unswerving Hammer of Retribution,68,oom,0,8
Hammer of Reproach,68,oom,0,8
Pious Light,68,oom,0,8
Sound of Divinity,68,oom,6,8
Desolate Undead,68,oom,0,8
Deistic Howl,68,dod,0,10
Death's Regret,68,dod,0,10
Mark of the Blameless,69,oom,0,8
Word of Vivification,69,oom,0,8
Calamity,69,oom,3,8
Aura of Devotion,69,oom,0,8
Yaulp VII,69,oom,0,8
Ward of Retribution,69,don,0,9
Chromastrike,69,dod,0,10
Placate,70,oom,0,8
Silent Dictation,70,oom,5,8
Armor of the Pious,70,oom,0,8
Balikor's Mark,70,oom,0,8
Hand of Conviction,70,oom,0,8
Ancient Pious Conscience,70,oom,0,8
Ancient Hallowed Light,70,oom,0,8
Desperate Renewal,70,dod,0,10
Elixir of Divinity,70,por,0,11
Puratus,70,por,0,11
Aura of the Pious,70,por,0,11
Eminent Reviviscence,71,tss,14,12
Blessing of Purpose,71,tss,0,12
Sacred Remedy,71,tss,0,12
Symbol of Elushar,71,tss,0,12
Ward of the Dauntless,71,tss,0,12
Awestruck,71,tss,4,12
Vow of Valor,71,tss,0,12
Dulcify,71,tss,0,12
Yaulp VIII,71,tbs,0,13
Tenacity,72,tss,0,12
Sacred Elixir,72,tss,0,12
Reproval,72,tss,0,12
Aura of Purpose,72,tss,0,12
Ward of Reprisal,72,tss,0,12
Divine Custody,72,tbs,15,13
Resist Corruption,73,tss,0,12
Aegis of Vie,73,tss,0,12
Sacred Light,73,tss,0,12
Sound of Zeal,73,tss,6,12
Promised Renewal,73,tss,12,12
Consecrate Ground,73,tbs,0,13
Mark of the Martyr,74,tss,0,12
Tectonic Quake,74,tss,3,12
Shared Purity,74,tss,0,12
Expunge Corruption,74,tss,0,12
Silent Decree,74,tss,5,12
Unflinching Hammer of Zeal,74,tbs,0,13
Armor of the Sacred,75,tss,0,12
Elushar's Mark,75,tss,0,12
Hand of Tenacity,75,tss,0,12
Elixir of Redemption,75,tss,0,12
Rallied Aegis of Vie,75,tss,0,12
Blood of the Martyr,75,tbs,0,13
Superior Reviviscence,76,sof,14,14
Blessing of Resolve,76,sof,0,14
Solemn Remedy,76,sof,0,14
