SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Minor Healing,1,original,0,0
Endure Fire,1,original,0,0
Sense Animals,1,original,0,0
Skin like Wood,1,original,0,0
Burst of Flame,1,original,0,0
Dance of the Fireflies,1,original,0,0
Flame Lick,1,original,0,0
Lull Animal,1,original,0,0
Panic Animal,1,original,0,0
Snare,1,original,0,0
Tangling Weeds,1,sol,0,3
Ward Summoned,2,original,0,0
Grasping Roots,2,original,0,0
Burst of Fire,3,original,0,0
Whirling Wind,3,original,4,0
Cure Disease,4,original,0,0
Camouflage,4,original,0,0
Invoke Lightning,4,original,0,0
Cure Poison,5,original,0,0
Gate,5,original,0,0
Harmony,5,original,0,0
Enduring Breath,6,original,0,0
Firefist,6,original,0,0
Treeform,6,original,0,0
Shield of Thistles,7,original,0,0
Strength of Earth,7,original,0,0
Thistlecoat,7,original,0,0
Ignite,8,original,0,0
Invisibility Versus Animals,8,original,0,0
Remove Minor Curse,8,ldon,0,6
Light Healing,9,original,0,0
Endure Cold,9,original,0,0
Starshine,9,original,0,0
Protection of Wood,9,sol,0,3
Summon Drink,10,original,0,0
Spirit of Wolf,10,original,0,0
Stinging Swarm,10,original,0,0
Summon Food,11,original,0,0
Halo of Light,11,original,0,0
Reebo's Lesser Augury,11,ldon,0,6
Bind Affinity,12,original,0,0
Cascade of Hail,12,original,7,0
Expulse Summoned,13,original,0,0
See Invisible,13,original,0,0
Befriend Animal,13,original,0,0
Levitate,14,original,0,0
Skin like Rock,14,original,0,0
Reebo's Lesser Exorcism,14,ldon,0,6
Reebo's Lesser Cleansing,14,ldon,0,6
Calm Animal,15,original,0,0
Terrorize Animal,15,original,0,0
Ring of Karana,15,original,0,0
Ring of Surefall Glade,15,original,0,0
Careless Lightning,16,original,0,0
Dizzying Wind,16,original,4,0
Ring of Butcher,16,original,0,0
Shield of Barbs,17,original,0,0
Barbcoat,17,original,0,0
Ring of Commons,17,original,0,0
Ring of Toxxulia,17,original,0,0
Tiny Companion,17,pop,0,4
Cancel Magic,18,original,0,0
Superior Camouflage,18,original,0,0
Feral Spirit,18,original,0,0
Lesser Succor,18,original,0,0
Ring of Grimling,18,sol,0,3
Endure Poison,19,original,0,0
Healing,19,original,0,0
Endure Disease,19,original,0,0
Ring of the Nexus,19,sol,0,3
Protection of Rock,19,sol,0,3
Resist Fire,20,original,0,0
Wolf Form,20,original,0,0
Ring of Ro,20,original,0,0
Ring of Stonebrunt,20,loy,0,5
Zephyr Blightfire Moors,20,tss,0,12
Circle of Blightfire Moors,20,tss,0,12
Ring of Blightfire Moors,20,tss,0,12
Primary Anchor Ring,20,hot,0,17
Secondary Anchor Ring,20,hot,0,17
Tremor,21,original,0,0
Ensnaring Roots,21,original,0,0
Spirit of Cheetah,21,original,0,0
Ring of Steamfont,21,original,0,0
Reebo's Augury,21,ldon,0,6
Pogonip,22,original,7,0
Sunbeam,22,original,0,0
Ring of Lavastorm,22,original,0,0
Ring of Feerrott,22,original,0,0
Dismiss Summoned,23,original,0,0
Charm Animals,23,original,0,0
Ring of Twilight,23,sol,0,3
Remove Lesser Curse,23,ldon,0,6
Creeping Crud,24,original,0,0
Skin like Steel,24,original,0,0
Ring of the Combines,24,sov,0,2
Reebo's Exorcism,24,ldon,0,6
Reebo's Cleansing,24,ldon,0,6
Immolate,25,original,0,0
Ring of Misty,25,original,0,0
Circle of Karana,25,original,0,0
Circle of Toxxulia,25,original,0,0
Circle of Butcher,25,original,0,0
Ring of Knowledge,25,pop,0,4
Ensnare,26,original,0,0
Succor East,26,original,0,0
Circle of Surefall Glade,26,original,0,0
Scale of Wolf,26,rok,0,1
Circle of the Nexus,26,sol,0,3
Shield of Brambles,27,original,0,0
Bramblecoat,27,original,0,0
Circle of Commons,27,original,0,0
Protection of Steel,27,sol,0,3
Counteract Poison,28,original,0,0
Counteract Disease,28,original,0,0
Combust,28,original,0,0
Beguile Plants,28,rok,0,1
Circle of Stonebrunt,28,loy,0,5
Greater Healing,29,original,0,0
Imbue Plains Pebble,29,original,0,0
Imbue Emerald,29,original,0,0
Circle of Grimling,29,sol,0,3
Ring of Dawnshroud,29,sol,0,3
Harmony of Nature,29,pop,0,4
Mass Imbue Emerald,29,loy,0,5
Mass Imbue Plains Pebble,29,loy,0,5
Resist Cold,30,original,0,0
Greater Wolf Form,30,original,0,0
Circle of Lavastorm,30,original,0,0
Fury of Air,30,sov,4,2
Spirit of the Shrew,30,ldon,0,6
Earthquake,31,original,3,0
Lightning Strike,31,original,0,0
Circle of Steamfont,31,original,0,0
Ring of Iceclad,31,sov,0,2
Reebo's Greater Augury,31,ldon,0,6
Drones of Doom,32,original,0,0
Circle of Ro,32,original,0,0
Circle of Feerrott,32,original,0,0
Succor Butcher,32,original,0,0
Zephyr Toxxulia,32,original,0,0
Circle of Iceclad,32,sov,0,2
Zephyr Nexus,32,sol,0,3
Expel Summoned,33,original,0,0
Beguile Animals,33,original,0,0
Zephyr Butcherblock,33,original,0,0
