SpellName,ClassLevel,Expansion,Timer,ExpansionNum
True North,1,original,0,0
Lull,1,original,0,0
Strengthen,1,original,0,0
Weaken,1,original,0,0
Pendril's Animation,1,original,0,0
Shallow Breath,1,original,0,0
Minor Illusion,1,original,0,0
Minor Shielding,1,original,0,0
Taper Enchantment,1,original,0,0
Reclaim Energy,1,original,0,0
Illusion Gingerbread Man,1,hot,0,17
Illusion Simple Bellikos,1,hot,0,17
Illusion Simple Gnomework,1,hot,0,17
Illusion Flame Telmira,1,hot,0,17
Illusion Shiny Steam Suit,1,hot,0,17
Illusion Shissar,1,hot,0,17
Illusion Evil Eye,1,hot,0,17
Illusion Spectre,1,hot,0,17
Illusion Fairy,1,hot,0,17
Illusion Kobold Serf,1,hot,0,17
Illusion Hideous Harpy,1,hot,0,17
Illusion Stone Gargoyle,1,hot,0,17
Illusion Hooded Scrykin,1,hot,0,17
Illusion Goblin King,1,hot,0,17
Illusion Kobold King,1,hot,0,17
Illusion Bixie Queen,1,hot,0,17
Illusion Bixie Drone,1,hot,0,17
Illusion Brownie,1,hot,0,17
Illusion Brownie Noble,1,hot,0,17
Illusion Pyrilen,1,hot,0,17
Illusion Gelidran,1,hot,0,17
Illusion Banshee,1,hot,0,17
Illusion Crystal Golem,1,hot,0,17
Illusion Arcane Scrykin,1,hot,0,17
Illusion Corrupted Shiliskin,1,hot,0,17
Illusion Ice Golem,1,hot,0,17
Illusion Aviak Rook,1,hot,0,17
Illusion Siren Enticer,1,hot,0,17
Illusion Frost Goblin,1,hot,0,17
Illusion Iksar Skeleton,1,hot,0,17
Illusion Raptor Predator,1,hot,0,17
Illusion Gnomish Pirate,1,hot,0,17
Illusion Embattled Minotaur,1,hot,0,17
Illusion Spirited Satyr,1,hot,0,17
Illusion Primal Kerran,1,hot,0,17
Illusion Barraki,1,hot,0,17
Illusion Centaur,1,hot,0,17
Illusion Banshee,1,hot,0,17
Illusion Blood Runed Gargoyle,1,hot,0,17
Illusion Eagle Aviak,1,hot,0,17
Illusion Snow Kobold,1,hot,0,17
Illusion Recluse Spider,1,hot,0,17
Illusion Drachnid,1,hot,0,17
Illusion Ogre Pirate,1,hot,0,17
Illusion Crystalline Trichordont,1,hot,0,17
Illusion Vitrik,1,hot,0,17
Illusion Crystalline Sessiloid,1,hot,0,17
Illusion Plaguebringer,1,hot,0,17
Illusion Hadal Templar,1,hot,0,17
Visage of the Daft Trickster,1,voa,0,18
Illusion Girplan,1,voa,0,18
Illusion Izon,1,voa,0,18
Illusion Rallosian Goblin,1,voa,0,18
Illusion Lightning Warrior,1,voa,0,18
Illusion Undead Gnoll,1,voa,0,18
Illusion Dusty Iksar Skeleton,1,voa,0,18
Illusion Sarnak Warrior,1,voa,0,18
Illusion Dark Bellikos,1,voa,0,18
Illusion Runic Tattoo Nihil Female,1,voa,0,18
Illusion Runic Tattoo Nihil Male,1,voa,0,18
Illusion Forest Fairy,1,voa,0,18
Illusion Tyrannosaurus,1,tds,0,21
Illusion Butterfly,1,tds,0,21
Illusion Dragorn,1,tbm,0,22
Illusion Plains Wyvern,1,tbm,0,22
Illusion Regal Vampire Male,1,tbm,0,22
Illusion Regal Vampire Female,1,tbm,0,22
Illusion Phantom Froglok,1,tbm,0,22
Illusion Polar Bear,1,tbm,0,22
Illusion Bixie Soldier,1,tbm,0,22
Illusion Blood Red Bellikos,1,tbm,0,22
Illusion Robed Scrykin,1,tbm,0,22
Illusion Gelatinous Cube,1,tbm,0,22
Illusion Aqua Goblin,1,tbm,0,22
Illusion Mastruq,1,tbm,0,22
Illusion Siren Sorceress,1,tbm,0,22
Illusion Centaur Warrior,1,tbm,0,22
Illusion Flood Telmira,1,tbm,0,22
Illusion Armored Shiliskin,1,tbm,0,22
Illusion Shadow Nekhon,1,tbm,0,22
Illusion Silver Gnomework,1,tbm,0,22
Illusion Fallen Knight,1,tbm,0,22
Illusion Dark Elf Pirate Female,1,tbm,0,22
Illusion Dark Elf Pirate Male,1,tbm,0,22
Illusion Human Pirate Male,1,tbm,0,22
Illusion Human Pirate Female,1,tbm,0,22
Illusion Erudite Pirate Female,1,tbm,0,22
Illusion Erudite Pirate Male,1,tbm,0,22
Illusion Fallen Soldier,1,tbm,0,22
Illusion Junkyard Gnomework,1,tbm,0,22
Illusion Twisted Gnomework,1,tbm,0,22
Illusion Dark Minotaur,1,tbm,0,22
Illusion Corrupt Akhevan,1,tbm,0,22
Illusion Warped Chetari,1,tbm,0,22
Illusion Gunthak Pirate,1,tbm,0,22
Illusion Ancient Sarnak Warrior,1,tbm,0,22
Illusion Relife,1,tbm,0,22
Illusion Bokon,1,tbm,0,22
Illusion Obulus Skeleton,1,tbm,0,22
Illusion Queen Velazul Di'Zok,1,tbm,0,22
Illusion Ancient Yeti,1,eok,0,23
Illusion Armored Kunark Goblin,1,eok,0,23
Illusion Lord Gorelik,1,eok,0,23
Illusion Drolvarg,1,eok,0,23
Illusion Combine Orator,1,eok,0,23
Illusion Combine Tactician,1,eok,0,23
Illusion Fourth Gate Guardian,1,eok,0,23
Illusion Mother of the Ayr'Dal,1,eok,0,23
Illusion Sarnak Skeleton,1,eok,0,23
Illusion Greater Jann,1,tbl,0,26
Mesmerize,2,original,0,0
Illusion Human,2,original,0,0
Tashina,2,original,0,0
Juli's Animation,2,original,0,0
Fear,3,original,0,0
Color Flux,3,original,0,0
Haze,3,original,0,0
Illusion Half-Elf,3,original,0,0
Gate,4,original,0,0
Invisibility,4,original,0,0
Enfeeblement,4,original,0,0
Suffocating Sphere,4,original,0,0
Eye of Confusion,5,original,0,0
Sentinel,5,original,0,0
Illusion Wood Elf,5,original,0,0
See Invisible,6,original,0,0
Soothe,6,original,0,0
Root,6,original,0,0
Lesser Shielding,6,original,0,0
Cancel Magic,7,original,0,0
Mircyl's Animation,7,original,0,0
Chaotic Feedback,7,original,0,0
Enchant Silver,7,original,0,0
Mass Enchant Silver,7,loy,0,5
Alliance,8,original,0,0
Bind Sight,8,original,0,0
Illusion Gnome,8,original,0,0
Enchant Clay,8,original,0,0
Mass Enchant Clay,8,loy,0,5
Languid Pace,9,original,0,0
Whirl Till You Hurl,9,original,6,0
Ebbing Strength,9,original,0,0
Kilan's Animation,9,original,0,0
Serpent Sight,10,original,0,0
Memory Blur,10,original,0,0
Illusion Dark Elf,10,original,0,0
Mist,10,original,0,0
Illusion Simple Gnoll,10,hot,0,17
Illusion Burning Nekhon,10,hot,0,17
Illusion Steam Suit,10,hot,0,17
Illusion Kedge,10,hot,0,17
Charm,11,original,0,0
Thicken Mana,11,original,0,0
Choke,11,original,0,0
Illusion High Elf,11,original,0,0
Greater Mass Enchant Silver,11,original,0,0
Intellectual Advancement,11,sol,0,3
Mass Thicken Mana,11,loy,0,5
Enduring Breath,12,original,0,0
Bind Affinity,12,original,0,0
Illusion Erudite,12,original,0,0
Illusion Halfling,12,original,0,0
Enthrall,13,original,0,0
Rune I,13,original,0,0
Illusion Dwarf,13,original,0,0
Wuggan's Lesser Appraisal,13,ldon,0,6
Invisibility Versus Undead,14,original,0,0
Enchant Electrum,14,original,0,0
Shalee's Animation,14,original,0,0
Breeze,14,rok,0,1
Mass Enchant Electrum,14,loy,0,5
Wuggan's Lesser Discombobulation,14,ldon,0,6
Wuggan's Lesser Extrication,14,ldon,0,6
Levitate,15,original,0,0
Quickness,15,original,0,0
Identify,15,original,0,0
Illusion Barbarian,15,original,0,0
Illusion Tree,15,original,0,0
Disempower,16,original,0,0
Chase the Moon,16,original,0,0
Sanity Warp,16,original,0,0
Mesmerization,16,original,0,0
Shielding,16,original,0,0
Focus Makeshift Spellcaster's Empowering Essence,16,tss,0,12
Focus Primitive Spellcaster's Empowering Essence,16,sof,0,14
Focus Rudimentary Spellcaster's Empowering Essence,16,sof,0,14
Focus Crude Spellcaster's Empowering Essence,16,sof,0,14
Endure Magic,17,original,0,0
Illusion Ogre,17,original,0,0
Cloud,17,original,0,0
Sisna's Animation,17,original,0,0
Intellectual Superiority,17,sol,0,3
Calm,18,original,0,0
Sympathetic Aura,18,original,0,0
Illusion Troll,18,original,0,0
Tashani,18,original,0,0
Berserker Strength,19,original,0,0
Feckless Might,19,original,0,0
Crystallize Mana,19,original,0,0
Greater Mass Enchant Electrum,19,original,0,0
Tiny Companion,19,pop,0,4
Shifting Sight,20,original,0,0
Benevolence,20,original,0,0
Color Shift,20,original,0,0
Illusion Iksar,20,rok,0,1
Mass Crystallize Mana,20,loy,0,5
Focus Mass Primitive Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Rudimentary Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Crude Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Makeshift Spellcaster's Empowering Essence,20,sof,0,14
Alacrity,21,original,0,0
Chaos Flux,21,original,0,0
Illusion Earth Elemental,21,original,0,0
Strip Enchantment,22,original,0,0
Rune II,22,original,0,0
Sagar's Animation,22,original,0,0
Major Shielding,23,original,0,0
Beguile,23,original,0,0
Tepid Deeds,23,original,0,0
Wuggan's Appraisal,23,ldon,0,6
Illusion Skeleton,24,original,0,0
Enchant Gold,24,original,0,0
Mass Enchant Gold,24,loy,0,5
Wuggan's Discombobulation,24,ldon,0,6
Wuggan's Extrication,24,ldon,0,6
Instill,25,original,0,0
Listless Power,25,original,0,0
Feedback,25,original,0,0
Focus Elementary Spellcaster's Empowering Essence,25,sof,0,14
Clarity,26,original,0,0
Curse of the Simple Mind,26,original,0,0
Suffocate,26,original,0,0
Haunting Visage,26,sol,0,3
Ultravision,27,original,0,0
Clarify Mana,27,original,0,0
Obscure,27,original,0,0
Nullify Magic,28,original,0,0
Augmentation,28,original,0,0
Illusion Water Elemental,28,original,0,0
Dyn's Dizzying Draught,28,original,6,0
Greater Mass Enchant Gold,28,original,0,0
Illusion Air Elemental,29,original,0,0
Uleen's Animation,29,original,0,0
Mass Clarify Mana,29,loy,0,5
Ward of Alendar,29,ldon,0,6
Focus Mass Elementary Spellcaster's Empowering Essence,29,tss,0,12
Mana Sieve,30,original,0,0
Entrance,30,original,0,0
Entrancing Lights,30,pop,0,4
Illusion Drakkin of Draton'ra,30,cotf,0,20
Illusion Drakkin of Osh'vir,30,cotf,0,20
Illusion Drakkin of Venesh,30,cotf,0,20
Greater Shielding,31,original,0,0
Radiant Visage,31,original,0,0
Boltran's Animation,31,original,0,0
Anarchy,32,original,0,0
Cast Sight,32,original,0,0
Enchant Platinum,32,original,0,0
Mass Enchant Platinum,32,loy,0,5
Rune III,33,original,0,0
Illusion Fire Elemental,33,original,0,0
Wuggan's Greater Appraisal,33,ldon,0,6
Insipid Weakness,34,original,0,0
Gift of Magic,34,sov,0,2
Wuggan's Greater Discombobulation,34,ldon,0,6
Wuggan's Greater Extrication,34,ldon,0,6
Pacify,35,original,0,0
Invoke Fear,35,original,0,0
Insight,35,original,0,0
Focus Modest Spellcaster's Empowering Essence,35,sof,0,14
Gravity Flux,36,original,0,0
Mind Wipe,36,original,0,0
Calming Visage,36,sol,0,3
Resist Magic,37,original,0,0
Cajoling Whispers,37,original,0,0
