SpellName,ClassLevel,Expansion,Timer,ExpansionNum
True North,1,original,0,0
Minor Shielding,1,original,0,0
Reclaim Energy,1,original,0,0
Burst of Flame,1,original,0,0
Summon Drink,1,original,0,0
Summon Food,1,original,0,0
Flare,1,original,0,0
Summon Dagger,1,original,0,0
Fire Flux,1,original,0,0
Elementalkin Water,2,original,0,0
Summon Bandages,2,original,0,0
Summon Brass Choker,2,sol,0,3
Sense Summoned,3,original,0,0
Elementalkin Fire,3,original,0,0
Summon Wisp,3,original,0,0
Gate,4,original,0,0
Burn,4,original,0,0
Elementalkin Air,4,original,0,0
Lesser Shielding,5,original,0,0
Elementalkin Earth,5,original,0,0
Flame Bolt,5,original,0,0
Eye of Zomm,6,original,0,0
Dimensional Pocket,6,original,0,0
Elementaling Water,6,original,0,0
Shock of Blades,7,original,0,0
Shield of Fire,7,original,0,0
Elementaling Fire,7,original,0,0
Renew Elements,7,rok,0,1
Invisibility,8,original,0,0
Elementaling Air,8,original,0,0
Staff of Tracing,8,original,0,0
Summon Linen Mantle,8,sol,0,3
Ward Summoned,9,original,0,0
Summon Fang,9,original,0,0
Elementaling Earth,9,original,0,0
Cancel Magic,10,original,0,0
Rain of Blades,10,original,7,0
Elemental Water,10,original,0,0
Summon Tarnished Bauble,10,sol,0,3
Burnout,11,original,0,0
Elemental Fire,11,original,0,0
Summon Elemental Defender,11,sol,0,3
Bind Affinity,12,original,0,0
Column of Fire,12,original,0,0
Elemental Air,12,original,0,0
Identify,13,original,0,0
Phantom Leather,13,original,0,0
Elemental Earth,13,original,0,0
Wuggan's Lesser Appraisal,13,ldon,0,6
Minor Summoning Water,14,original,0,0
Staff of Warding,14,original,0,0
Wuggan's Lesser Discombobulation,14,ldon,0,6
Wuggan's Lesser Extrication,14,ldon,0,6
Summon Throwing Dagger,15,original,0,0
Summon Heatstone,15,original,0,0
Shock of Flame,15,original,0,0
Minor Summoning Fire,15,original,0,0
See Invisible,16,original,0,0
Shielding,16,original,0,0
Minor Summoning Air,16,original,0,0
Summon Tiny Ring,16,sol,0,3
Focus Primitive Spellcaster's Empowering Essence,16,sof,0,14
Focus Rudimentary Spellcaster's Empowering Essence,16,sof,0,14
Focus Crude Spellcaster's Empowering Essence,16,sof,0,14
Summon Waterstone,17,original,0,0
Rain of Fire,17,original,3,0
Minor Summoning Earth,17,original,0,0
Summon Phantom Leather,17,sol,0,3
Expulse Summoned,18,original,0,0
Bolt of Flame,18,original,0,0
Lesser Summoning Water,18,original,0,0
Renew Summoning,18,rok,0,1
Elemental Shield,19,original,0,0
Shield of Flame,19,original,0,0
Lesser Summoning Fire,19,original,0,0
Tiny Companion,19,pop,0,4
Summon Arrows,20,original,0,0
Spear of Warding,20,original,0,0
Lesser Summoning Air,20,original,0,0
Summon Jade Bracelet,20,sol,0,3
Summon Wooden Bracelet,20,ldon,0,6
Focus Makeshift Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Primitive Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Rudimentary Spellcaster's Empowering Essence,20,tss,0,12
Focus Mass Crude Spellcaster's Empowering Essence,20,tss,0,12
Cornucopia,21,original,0,0
Lesser Summoning Earth,21,original,0,0
Summon Silver Choker,21,sol,0,3
Everfount,22,original,0,0
Malaise,22,original,0,0
Flame Flux,22,original,0,0
Summoning Water,22,original,0,0
Shock of Spikes,23,original,0,0
