SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Salve,1,god,0,7
Flash of Light,2,original,0,0
True North,3,original,0,0
Sense the Dead,4,original,0,0
Cure Poison,5,original,0,0
Minor Healing,6,original,0,0
Cease,7,sol,0,3
Courage,8,original,0,0
Spook the Dead,9,original,0,0
Yaulp,9,original,0,0
Lull,10,original,0,0
Cure Disease,11,original,0,0
Light Healing,12,original,0,0
Desist,13,sol,0,3
Ward Undead,14,original,0,0
Hammer of Wrath,14,original,0,0
Holy Armor,15,original,0,0
Halo of Light,16,original,0,0
Invisibility Versus Undead,17,original,0,0
Reckless Strength,18,original,0,0
Root,19,original,0,0
Remove Minor Curse,19,ldon,0,6
Center,20,original,0,0
Endure Poison,21,original,0,0
Reanimation,22,original,0,0
Hammer of Striking,23,original,0,0
Symbol of Transal,24,original,0,0
Soothe,25,original,0,0
Instrument of Nife,26,sol,0,3
Healing,27,original,0,0
Stun,28,original,5,0
Endure Magic,29,original,0,0
Expulse Undead,30,original,0,0
Spirit Armor,30,original,0,0
Reconstitution,30,original,0,0
Reparation,31,original,0,0
Cancel Magic,32,original,0,0
Symbol of Ryltan,33,original,0,0
Counteract Poison,34,original,0,0
Remove Lesser Curse,34,ldon,0,6
Divine Vigor,35,sol,0,3
Greater Healing,36,original,0,0
Daring,37,original,0,0
Divine Purpose,37,sov,0,2
Endure Disease,38,original,0,0
Yaulp II,38,original,0,0
Guard,39,original,0,0
Revive,39,original,0,0
Wave of Life,39,pop,0,4
Holy Might,42,original,0,0
Calm,43,original,0,0
Valor of Marr,44,sol,0,3
Ethereal Cleansing,44,loy,0,5
Divine Might,45,rok,0,1
Remove Curse,45,sol,0,3
Dismiss Undead,46,original,0,0
Symbol of Pinzarn,46,original,0,0
Valor,47,original,0,0
Thunder of Karana,47,sol,0,3
Superior Healing,48,original,0,0
Divine Aura,48,original,15,0
Armor of Faith,48,original,0,0
Pacify,49,original,0,0
Renewal,49,original,0,0
Brell's Steadfast Aegis,49,pop,0,4
Resist Disease,50,original,0,0
Flame of Light,50,sov,0,2
Resistant Discipline,51,original,5,0
Force,52,original,0,0
Frenzied Strength,52,original,0,0
Light of Life,52,loy,0,5
Divine Glory,53,sov,0,2
Force of Akera,53,pop,5,4
Fearless Discipline,54,original,5,0
Instill,54,original,0,0
Expel Undead,54,original,0,0
Quellious' Word of Tranquility,54,sol,6,3
Resist Magic,55,original,0,0
Restoration,55,original,0,0
Divine Favor,55,rok,0,1
Wave of Healing,55,sov,2,2
Holyforge Discipline,55,sov,2,2
Austerity,55,ldon,0,6
Holy Aura,55,por,0,11
Counteract Disease,56,original,0,0
Yaulp III,56,original,0,0
Breath of Tunare,56,sol,0,3
Guard of Piety,56,don,5,9
Nullify Magic,58,original,0,0
Symbol of Naltron,58,original,0,0
Healing Wave of Prexus,58,sol,0,3
Blessing of Austerity,58,ldon,0,6
Resurrection,59,original,0,0
Celestial Cleansing,59,sol,0,3
Deflection Discipline,59,sod,4,15
Resolution,60,original,0,0
Shield of Words,60,original,0,0
Yaulp IV,60,rok,0,1
Divine Strength,60,sov,0,2
Sanctification Discipline,60,sov,3,2
Remove Greater Curse,60,sol,0,3
Brell's Mountainous Barrier,60,sol,0,3
Eradicate Curse,60,rof,0,19
Resist Poison,61,original,0,0
Heroism,61,rok,0,1
Greater Immobilize,61,pop,0,4
Touch of Nife,61,pop,0,4
Guard of Humility,61,don,5,9
Crusader's Touch,62,pop,0,4
Force of Akilae,62,pop,4,4
Ward of Nife,62,pop,0,4
Deny Undead,62,pop,7,4
Symbol of Marzin,63,rok,0,1
Improved Invisibility to Undead,63,sov,0,2
Pious Might,63,pop,0,4
Light of Nife,63,pop,0,4
Heroic Bond,64,rok,0,1
Aura of the Crusader,64,pop,0,4
Quellious' Word of Serenity,64,pop,6,4
Supernal Cleansing,64,pop,3,4
Eradicate Poison,64,rof,0,19
Bulwark of Faith,65,rok,0,1
Shackles of Tunare,65,pop,0,4
Wave of Marr,65,pop,0,4
Brell's Stalwart Shield,65,pop,0,4
Guidance,65,ldon,0,6
Wave of Trushar,65,god,2,7
Light of Order,65,god,0,7
Holy Order,65,god,0,7
Ancient Force of Chaos,65,god,5,7
Direction,66,oom,0,8
Touch of Piety,66,oom,0,8
Force of Piety,66,oom,4,8
Crusader's Purity,67,oom,0,8
Silvered Fury,67,oom,0,8
Spurn Undead,67,oom,7,8
Symbol of Jeron,67,oom,0,8
Pious Fury,68,oom,0,8
Light of Piety,68,oom,0,8
Serene Command,68,oom,6,8
Jeron's Mark,68,oom,0,8
Last Rites,68,dod,7,10
Hand of Direction,69,oom,0,8
Armor of the Champion,69,oom,0,8
Pious Cleansing,69,oom,3,8
Bulwark of Piety,69,oom,0,8
Guard of Righteousness,69,don,5,9
Silent Piety,69,dod,0,10
Wave of Piety,70,oom,0,8
Brell's Brawny Bulwark,70,oom,0,8
Affirmation,70,oom,0,8
Ancient Force of Jeron,70,oom,5,8
Ward of Tunare,70,por,12,11
Blessed Aura,70,por,0,11
Sacred Touch,71,tss,0,12
Sacred Force,71,tss,4,12
Absolve,71,tss,0,12
Burial Rites,71,tbs,7,13
Eradicate Disease,71,rof,0,19
Challenge for Honor,72,tss,0,12
Gleaming Light,72,tss,0,12
Lesson of Penitence,72,tss,6,12
Burst of Sunlight,73,tss,8,12
Armor of Unrelenting Faith,73,tss,0,12
Sacred Cleansing,73,tss,3,12
Armor of Righteousness,73,tbs,5,13
Fenegar's Mark,74,tss,0,12
Wave of Forgiveness,74,tss,2,12
Brell's Stony Guard,74,tss,0,12
Cure Corruption,75,tss,0,12
Sworn Protector,75,tss,0,12
Remorse for the Fallen,75,tss,0,12
Force of Prexus,75,tbs,5,13
Solemn Touch,76,sof,0,14
Solemn Force,76,sof,4,14
Atonement,76,sof,0,14
Benediction,76,sof,0,14
Symbol of Bthur,77,sof,0,14
Trial for Honor,77,sof,0,14
Radiant Light,77,sof,0,14
Lesson of Contrition,77,sof,6,14
Burst of Morrow,78,sof,0,14
Armor of Inexorable Faith,78,sof,0,14
Solemn Cleansing,78,sof,3,14
Armor of Decorum,78,sof,5,14
Bthur's Mark,79,sof,0,14
Wave of Absolution,79,sof,0,14
Brell's Earthen Aegis,79,sof,0,14
Mark of the Saint,79,sof,0,14
Oathbound Protector,80,sof,0,14
Force of Timorous,80,sof,5,14
Sustenance of Tunare,80,sof,12,14
Aurora of Morrow,80,sof,0,14
Righteous Fury,80,sof,0,14
Devout Touch,81,sod,0,15
Devout Force,81,sod,4,15
Expiation,81,sod,0,15
Eulogy,81,sod,0,15
Devoted Purity,81,sod,0,15
Mark of the Crusader,81,sod,0,15
Symbol of Jeneca,82,sod,0,15
Charge for Honor,82,sod,0,15
Shining Light,82,sod,9,15
Lesson of Compunction,82,sod,6,15
Crush of the Crying Seas,82,sod,5,15
Burst of Dawnlight,83,sod,0,15
Armor of Unwavering Faith,83,sod,0,15
Devout Cleansing,83,sod,3,15
Armor of Endless Honor,83,sod,5,15
Withstand,83,sod,15,15
Splash of Sanctification,83,uf,2,16
Honorific Mantle,83,uf,5,16
Jeneca's Mark,84,sod,0,15
Wave of Remitment,84,sod,2,15
Brell's Loamy Ward,84,sod,0,15
Mark of the Pious,84,sod,0,15
Steely Stance,84,sod,0,15
Sworn Keeper,85,sod,0,15
Force of the Crying Seas,85,sod,5,15
Preservation of Tunare,85,sod,12,15
Aurora of Dawnlight,85,sod,0,15
Devout Fury,85,sod,0,15
Crush of Compunction,85,sod,6,15
Glorious Vindication,85,uf,7,16
Protective Confession,85,uf,9,16
Respite,86,hot,13,17
Annihilate the Undead,86,hot,0,17
Cleanse,86,hot,0,17
Earnest Purity,86,hot,0,17
Earnest Touch,86,hot,0,17
Earnest Force,86,hot,4,17
Elegy,86,hot,0,17
Mark of the Pure,86,hot,0,17
Propitiate,86,hot,0,17
Confrontation for Honor,87,hot,0,17
Crush of Marr,87,hot,5,17
Denouncement,87,hot,0,17
Denouncement Heal,87,hot,0,17
Denouncement Heal II,87,hot,0,17
Denouncement Heal III,87,hot,0,17
Joyous Light,87,hot,9,17
Lesson of Repentance,87,hot,6,17
Symbol of Jyleel,87,hot,0,17
Defy,88,hot,15,17
Armor of Courage,88,hot,11,17
Armor of Implacable Faith,88,hot,0,17
Burst of Daybreak,88,hot,0,17
Earnest Cleansing,88,hot,3,17
Exalted Mantle,88,hot,5,17
Exalted Mantle Heal,88,hot,0,17
Exalted Mantle Heal II,88,hot,0,17
Exalted Mantle Heal III,88,hot,0,17
Righteous Indignation,88,hot,14,17
Righteous Indignation Effect,88,hot,0,17
Righteous Indignation Effect II,88,hot,0,17
Righteous Indignation Effect III,88,hot,0,17
Indignant Strike,88,hot,0,17
Indignant Strike II,88,hot,0,17
Indignant Strike III,88,hot,0,17
Stubborn Stance,89,hot,0,17
Brell's Tellurian Rampart,89,hot,0,17
Mark of the Defender,89,hot,0,17
Penitence,89,hot,0,17
Wave of Penitence,89,hot,0,17
Aurora of Daybreak,90,hot,0,17
Crush of Repentance,90,hot,6,17
Earnest Fury,90,hot,0,17
Earnest Fury Strike,90,hot,0,17
Earnest Fury Strike II,90,hot,0,17
Earnest Fury Strike III,90,hot,0,17
Force of Marr,90,hot,5,17
Glorious Exoneration,90,hot,7,17
Oathbound Keeper,90,hot,0,17
Preservation of Marr,90,hot,12,17
Preservation of Marr Effect,90,hot,0,17
Preservation of Marr Effect II,90,hot,0,17
Preservation of Marr Effect III,90,hot,0,17
Protective Devotion,90,hot,9,17
Pureforge Discipline,90,hot,12,17
Reprieve,91,voa,13,18
Abolish the Undead,91,voa,0,18
Purify,91,voa,0,18
Zealous Purity,91,voa,0,18
Zealous Touch,91,voa,0,18
Zealous Force,91,voa,4,18
Paean,91,voa,0,18
Mark of Ragan,91,voa,0,18
Mollify,91,voa,0,18
Avowed Keeper,92,voa,0,18
Provocation for Honor,92,voa,0,18
Crush of Oseka,92,voa,5,18
Reprimand,92,voa,0,18
Reprimand Heal,92,voa,0,18
Reprimand Heal II,92,voa,0,18
Reprimand Heal III,92,voa,0,18
Brilliant Light,92,voa,9,18
Lesson of Remorse,92,voa,6,18
Symbol of Erillion,92,voa,0,18
Righteous Audacity,92,voa,0,18
Renounce,93,voa,15,18
Armor of Zeal,93,voa,11,18
Armor of Formidable Faith,93,voa,0,18
Burst of Splendor,93,voa,0,18
Zealous Cleansing,93,voa,3,18
Prominent Mantle,93,voa,5,18
Prominent Mantle Heal,93,voa,0,18
Prominent Mantle Heal II,93,voa,0,18
Prominent Mantle Heal III,93,voa,0,18
Righteous Vexation,93,voa,14,18
Righteous Vexation Effect,93,voa,0,18
Righteous Vexation Effect II,93,voa,0,18
Righteous Vexation Effect III,93,voa,0,18
Vexed Strike,93,voa,0,18
Vexed Strike II,93,voa,0,18
Vexed Strike III,93,voa,0,18
