SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Salve,1,god,0,7
Glimpse,2,original,0,0
Flame Lick,3,original,0,0
Lull Animal,4,original,0,0
Tangling Weeds,5,sol,0,3
Snare,6,original,0,0
Skin like Wood,7,original,0,0
Minor Healing,8,original,0,0
Endure Fire,9,original,0,0
Dance of the Fireflies,10,original,0,0
Hawk Eye,11,sol,0,3
Feet like Cat,12,original,0,0
Cure Poison,13,original,0,0
Thistlecoat,13,original,0,0
Burst of Fire,14,original,0,0
Camouflage,14,original,0,0
Grasping Roots,15,original,0,0
Invoke Lightning,15,original,0,0
Ward Summoned,16,original,0,0
Panic Animal,16,original,0,0
Bind Sight,17,original,0,0
Firefist,17,original,0,0
Endure Cold,18,original,0,0
Ignite,19,original,0,0
Light Healing,20,original,0,0
Enduring Breath,20,original,0,0
Skin like Rock,21,original,0,0
Cure Disease,22,original,0,0
Harmony,22,original,0,0
Shield of Thistles,24,original,0,0
Stinging Swarm,25,original,0,0
Strength of Earth,26,original,0,0
Eyes of the Cat,27,original,0,0
Spirit of Wolf,28,original,0,0
Riftwind's Protection,29,sol,0,3
Flaming Arrow,29,pop,1,4
Cancel Magic,30,original,0,0
Barbcoat,30,original,0,0
Calm Animal,31,original,0,0
Healing,32,original,0,0
See Invisible,32,original,0,0
Dismiss Summoned,33,original,0,0
Bramblecoat,34,original,0,0
Levitate,35,original,0,0
Call of Sky,36,sov,0,2
Careless Lightning,37,original,0,0
Nature's Precision,37,sol,0,3
Skin like Steel,38,original,0,0
Harmony of Nature,39,pop,0,4
Burning Arrow,39,pop,4,4
Swarm of Pain,40,loy,0,5
Spirit of the Shrew,41,ldon,0,6
Spikecoat,42,original,0,0
Shield of Brambles,43,original,0,0
Greater Healing,44,original,0,0
Immolate,44,original,0,0
Ensnaring Roots,45,original,0,0
Resist Fire,46,original,0,0
Superior Camouflage,47,original,0,0
Wolf Form,48,original,0,0
Force of Nature,48,sol,0,3
Call of Flame,49,original,1,0
Pack Shrew,49,ldon,0,6
Jolt,50,rok,0,1
Call of Earth,50,sov,0,2
Resistant Discipline,51,original,5,0
Ensnare,51,original,0,0
Strength of Nature,51,sov,0,2
Tangle,51,sol,0,3
Firestrike,52,original,0,0
Falcon Eye,52,sol,0,3
Icewind,52,loy,2,5
Storm Strength,53,original,0,0
Fearless Discipline,54,original,5,0
Drones of Doom,54,original,0,0
Skin like Diamond,54,original,0,0
Jolting Blades,54,sol,0,3
Resist Cold,55,original,0,0
Chloroplast,55,original,0,0
Cinder Jolt,55,sov,0,2
Call of Fire,55,sov,0,2
Trueshot Discipline,55,sov,2,2
Fire Swarm,55,ldon,0,6
Greater Wolf Form,56,original,0,0
Chill Sight,56,original,0,0
Mark of the Predator,56,sol,0,3
Nullify Magic,58,original,0,0
Shield of Spikes,58,original,0,0
Eagle Eye,58,sol,0,3
Call of Ice,58,ldon,0,6
Skin like Nature,59,original,0,0
