SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Throw Stone,1,original,9,0
Elbow Strike,5,original,9,0
Focused Will Discipline,10,original,5,0
Sneak Attack,20,god,9,7
Resistant Discipline,30,original,5,0
Fearless Discipline,40,original,5,0
Thief's Vengeance,52,ldon,9,6
Counterattack Discipline,53,rok,2,1
Deadeye Discipline,54,rok,4,1
Nimble Discipline,55,rok,2,1
Poison Spurs Trap,55,por,10,11
Kinesthetics Discipline,57,rok,3,1
Blinding Speed Discipline,58,rok,4,1
Duelist Discipline,59,rok,3,1
Rogue's Ploy,61,don,9,9
Assassin's Strike,63,ldon,9,6
Deadly Precision Discipline,63,ldon,4,6
Healing Will Discipline,63,god,5,7
Twisted Chance Discipline,65,ldon,4,6
Kyv Strike,65,god,9,7
Ancient Chaos Strike,65,god,9,7
Imperceptible Discipline,66,oom,5,8
Deadly Aim Discipline,68,oom,16,8
Thief's Eyes,68,dod,-1,10
Daggerfall,69,oom,9,8
Assassin's Feint,69,don,9,9
Frenzied Stabbing Discipline,70,oom,6,8
Razorarc,70,por,9,11
Poison Spikes Trap,70,por,10,11
Blinding Flash,71,tss,-1,12
Spelldodge Discipline,72,tss,2,12
Second Wind,72,tbs,13,13
Guide of Toxicity,73,tss,8,12
Lithe Discipline,74,tss,2,12
Pinpoint Vulnerability,74,tbs,10,13
Assassin Discipline,75,tss,3,12
Blinding Flare,76,sof,-1,14
Waylay,76,sof,7,14
Third Wind,77,sof,13,14
Jugular Slash,77,sof,18,14
Docent of Toxicity,78,sof,8,14
Pinpoint Weaknesses,79,sof,10,14
Fadelure,80,sof,12,14
Swiftblade,80,sof,9,14
Blinding Spark,81,sod,-1,15
Ambush,81,sod,7,15
Fourth Wind,82,sod,13,15
Jugular Slice,82,sod,18,15
Bleed,83,sod,1,15
Lesson in Toxicity,83,sod,8,15
Vigorous Dagger-Throw,83,uf,9,16
Pinpoint Vitals,84,sod,10,15
Procure Sap,84,sod,1,15
Smokescreen,85,sod,12,15
Daggerlunge,85,sod,9,15
Desperate Escape,85,uf,1,16
Assault,85,uf,9,16
Respite,86,hot,13,17
Assail,86,hot,7,17
Blinding Glare,86,hot,-1,17
Easy Mark,86,hot,17,17
Fifth Wind,87,hot,13,17
Weapon Affiliation,87,hot,5,17
Jugular Sever,87,hot,18,17
Instruction in Toxicity,88,hot,8,17
Vigorous Dagger-Strike,88,hot,9,17
Wound,88,hot,1,17
Fleet-Footed Discipline,89,hot,2,17
Misdirection,89,hot,11,17
Pinpoint Flaws,89,hot,10,17
Battery,90,hot,9,17
Daggerswipe,90,hot,9,17
Reckless Escape,90,hot,1,17
Smokeshroud,90,hot,12,17
Reprieve,91,voa,13,18
Accost,91,voa,7,18
Blinding Gleam,91,voa,-1,18
Simple Mark,91,voa,17,18
Sixth Wind,92,voa,13,18
Weapon Bond,92,voa,5,18
Distraction,92,voa,11,18
Jugular Gash,92,voa,18,18
Razor's Edge Discipline,92,voa,14,18
Inner Rejuvenation,93,voa,14,18
Toxic Blade,93,voa,8,18
Energetic Dagger-Strike,93,voa,9,18
Lacerate,93,voa,1,18
Quick-Footed Discipline,94,voa,2,18
Delusion,94,voa,11,18
Pinpoint Liabilities,94,voa,10,18
Onslaught,95,voa,9,18
Daggerstrike,95,voa,9,18
Eradicator's Discipline,95,voa,3,18
Wild Escape,95,voa,1,18
Smokeblind,95,voa,12,18
Rest,96,rof,13,19
Beset,96,rof,7,19
Blinding Blaze,96,rof,-1,19
Gullible Mark,96,rof,17,19
Venomous Spike Trap,96,rof,10,19
Thief's Vision,96,cotf,-1,20
Seventh Wind,97,rof,13,19
Weapon Covenant,97,rof,5,19
Jugular Lacerate,97,rof,18,19
Indiscernible Discipline,97,rof,5,19
Spell Evasion Discipline,97,rof,2,19
Conditioned Reflexes,97,cotf,-1,20
Asp Blade,98,rof,8,19
Energetic Dagger-Throw,98,rof,9,19
Gash,98,rof,1,19
Fatal Aim Discipline,98,rof,16,19
Knifeplay Discipline,98,cotf,16,20
Agile-Footed Discipline,99,rof,2,19
Deceit,99,rof,11,19
Pinpoint Deficiencies,99,rof,10,19
Aspbleeder Discipline,99,rof,15,19
Holdout Blade,99,cotf,20,20
Incursion,100,rof,9,19
Daggerthrust,100,rof,9,19
Daring Escape,100,rof,1,19
Smokecloud,100,rof,12,19
Executioner Discipline,100,rof,3,19
Phantom Assassin,100,cotf,19,20
Breather,101,tds,13,21
Surprise Attack,101,tds,7,21
Wide-Eyed Mark,101,tds,17,21
Dichotomic Weapons,101,tbm,22,22
Blinding Burst,102,tds,-1,21
Jugular Hack,102,tds,18,21
Shrouding Speed Discipline,102,tbm,4,22
Shrouding Speed Shock,102,tbm,0,22
Shrouding Speed Shock II,102,tbm,0,22
Shrouding Speed Shock III,102,tbm,0,22
Shadow-Hunter's Dagger,102,eok,-1,23
Reefcrawler Blade,103,tds,8,21
Exuberant Dagger-Throw,103,tds,9,21
Hack,103,tds,1,21
Poisonous Alliance,103,eok,21,23
Disorientation,104,tds,11,21
Hidden Blade,104,tds,20,21
Arcwork Discipline,104,tds,15,21
Disassociative Puncture,104,eok,12,23
Barrage,105,tds,9,21
