SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Endure Cold,1,original,0,0
Cure Disease,1,original,0,0
Minor Healing,1,original,0,0
Flash of Light,1,original,0,0
True North,1,original,0,0
Burst of Flame,1,original,0,0
Strengthen,1,original,0,0
Inner Fire,1,original,0,0
Dexterous Aura,1,original,0,0
Cure Poison,2,original,0,0
Summon Drink,2,original,0,0
Spirit Pouch,2,original,0,0
Feet like Cat,3,original,0,0
Scale Skin,3,original,0,0
Fleeting Fury,4,original,0,0
Sicken,4,original,0,0
Frost Rift,4,original,0,0
Endure Fire,5,original,0,0
Gate,5,original,0,0
Drowsy,5,original,0,0
Summon Food,6,original,0,0
Serpent Sight,6,original,0,0
Spirit of Bear,6,original,0,0
Sense Animals,7,original,0,0
Cure Blindness,7,original,0,0
Spirit Sight,7,original,0,0
Endure Disease,8,original,0,0
Tainted Breath,8,original,0,0
Talisman of the Beast,8,sol,0,3
Light Healing,9,original,0,0
Spirit of Wolf,9,original,0,0
Remove Minor Curse,9,ldon,0,6
Levitate,10,original,0,0
Invisibility Versus Animals,10,original,0,0
Spirit of Snake,10,original,0,0
Endure Poison,11,original,0,0
Turtle Skin,11,original,0,0
Burst of Strength,11,original,0,0
Enduring Breath,12,original,0,0
Root,12,original,0,0
Disempower,12,original,0,0
Walking Sleep,13,original,0,0
Reebo's Lesser Augury,13,ldon,0,6
Bind Affinity,14,original,0,0
Spirit Strike,14,original,0,0
Reebo's Lesser Exorcism,14,ldon,0,6
Reebo's Lesser Cleansing,14,ldon,0,6
Shrink,15,original,0,0
Infectious Cloud,15,original,0,0
Frenzy,16,original,0,0
Grow,16,sol,0,3
Tiny Companion,16,pop,0,4
Insidious Fever,17,original,0,0
Vision,17,original,0,0
Malaise,18,original,0,0
Spirit Strength,18,original,0,0
Spirit of Cat,18,original,0,0
Cancel Magic,19,original,0,0
Healing,19,original,0,0
Endure Magic,19,original,0,0
Affliction,19,original,0,0
Protect,20,original,0,0
Creeping Vision,20,original,0,0
Spirit of Cheetah,21,original,0,0
Spirit of Ox,21,original,0,0
Spirit of Monkey,21,original,0,0
Counteract Disease,22,original,0,0
Poison Storm,22,original,5,0
Scale of Wolf,22,rok,0,1
Regeneration,23,original,0,0
Cannibalize,23,original,1,0
Frost Strike,23,original,0,0
Reebo's Augury,23,ldon,0,6
Resist Cold,24,original,0,0
Envenomed Breath,24,original,0,0
Remove Lesser Curse,24,ldon,0,6
Reebo's Exorcism,24,ldon,0,6
Reebo's Cleansing,24,ldon,0,6
Befriend Animal,25,original,0,0
Rising Dexterity,25,original,0,0
Form of the Bear,25,sol,0,3
Counteract Poison,26,original,0,0
Quickness,26,original,0,0
Ultravision,26,original,0,0
Resist Fire,27,original,0,0
Invisibility,27,original,0,0
Tagar's Insects,27,original,0,0
Raging Strength,28,original,0,0
Alluring Aura,28,original,0,0
Greater Healing,29,original,0,0
Listless Power,29,original,0,0
Imbue Amber,29,original,0,0
Imbue Sapphire,29,original,0,0
Imbue Diamond,29,original,0,0
Imbue Ivory,29,original,0,0
Imbue Jade,29,rok,0,1
Mass Imbue Amber,29,loy,0,5
Mass Imbue Diamond,29,loy,0,5
Mass Imbue Sapphire,29,loy,0,5
