SpellName,ClassLevel,Expansion,Timer,ExpansionNum
Throw Stone,1,original,9,0
Elbow Strike,5,original,9,0
Focused Will Discipline,10,original,5,0
Provoke,20,original,9,0
Resistant Discipline,30,original,5,0
Fearless Discipline,40,original,5,0
Evasive Discipline,52,rok,2,1
Bellow,52,ldon,9,6
Charge Discipline,53,rok,4,1
Mighty Strike Discipline,54,rok,4,1
Defensive Discipline,55,rok,2,1
Myrmidon's Aura,55,por,-1,11
Furious Discipline,56,rok,3,1
Berate,56,ldon,9,6
Precision Discipline,57,rok,4,1
Fellstrike Discipline,58,rok,4,1
Fortitude Discipline,59,rok,3,1
Aggressive Discipline,60,rok,4,1
Spirit of Rage Discipline,61,pop,5,4
Whirlwind Blade,61,don,10,9
Incite,63,pop,9,4
Healing Will Discipline,63,god,5,7
Stonewall Discipline,65,god,2,7
Bellow of the Mastruq,65,god,9,7
Ancient Chaos Cry,65,god,9,7
Aura of Runes Discipline,66,oom,5,8
Savage Onslaught Discipline,68,oom,6,8
Commanding Voice,68,dod,-1,10
Bazu Bellow,69,oom,8,8
Cyclone Blade,69,don,10,9
Shocking Defense Discipline,70,oom,7,8
Mock,70,por,9,11
Champion's Aura,70,por,-1,11
Aura of Draconic Runes,71,tss,5,12
Final Stand Discipline,72,tss,2,12
Second Wind,72,tbs,13,13
Throat Jab,73,tss,-1,12
Vortex Blade,74,tss,10,12
Brutal Onslaught Discipline,74,tbs,6,13
Scowl,75,tss,9,12
Armor of Draconic Runes,76,sof,5,14
Third Wind,77,sof,13,14
Shield Reflect,77,sof,8,14
Opportunistic Strike,78,sof,9,14
Whorl Blade,79,sof,10,14
Sneer,80,sof,9,14
Knuckle Smash,80,sof,10,14
Armor of Timeworn Runes,81,sod,5,15
Bazu Bluster,81,sod,8,15
Fourth Wind,82,sod,13,15
Shield Topple,83,sod,22,15
Lionhearted Rally-Cry,83,uf,-1,16
Maelstrom Blade,84,sod,10,15
Punch Through,84,sod,12,15
Jeer,85,sod,9,15
Knuckle Crush,85,sod,10,15
Field Armorer,85,uf,-1,16
Bracing Defense,85,uf,-1,16
Respite,86,hot,13,17
Armor of Phantasmic Runes,86,hot,5,17
Bazu Roar,86,hot,8,17
Fifth Wind,87,hot,13,17
Weapon Affiliation,87,hot,5,17
Flash of Anger,87,hot,11,17
Flash of Anger Effect,87,hot,0,17
Flash of Anger Effect II,87,hot,0,17
Flash of Anger Effect III,87,hot,0,17
Rallying Roar,88,hot,14,17
Strategic Strike,88,hot,9,17
Jab Through,89,hot,12,17
Wheeling Blades,89,hot,10,17
Forceful Attraction,89,hot,10,17
Field Outfitter,90,hot,-1,17
Knuckle Snap,90,hot,10,17
Scoff,90,hot,9,17
Staunch Defense,90,hot,-1,17
Reprieve,91,voa,13,18
Armor of Mystical Runes,91,voa,5,18
Grendlaen Roar,91,voa,8,18
Sixth Wind,92,voa,13,18
Weapon Bond,92,voa,5,18
Undivided Attention,92,voa,15,18
Inner Rejuvenation,93,voa,14,18
Roar of Challenge,93,voa,14,18
Vital Strike,93,voa,9,18
Cyclonic Blades,94,voa,10,18
Barbed Tongue Discipline,94,voa,4,18
Field Defender,95,voa,-1,18
Knuckle Break,95,voa,10,18
Scorn,95,voa,9,18
Stalwart Defense,95,voa,-1,18
Rest,96,rof,13,19
Armor of Stalwart Runes,96,rof,5,19
Krondal's Roar,96,rof,8,19
No Time to Bleed,96,cotf,18,20
Seventh Wind,97,rof,13,19
Weapon Covenant,97,rof,5,19
Unbroken Attention,97,rof,15,19
Offensive Discipline,97,rof,2,19
Determined Reprisal,97,cotf,12,20
Ridicule,98,rof,9,19
Harassing Shout,98,rof,17,19
Last Stand Discipline,98,cotf,2,20
Stormwheel Blades,99,rof,10,19
Warrior's Auspice,99,rof,16,19
Wade into Battle,99,cotf,12,20
Field Guardian,100,rof,-1,19
Steadfast Defense,100,rof,-1,19
Tempestuous Defense Discipline,100,rof,7,19
Phantom Aggressor,100,cotf,19,20
Breather,101,tds,13,21
Armor of Darkened Runes,101,tds,5,21
Cyclone Roar,101,tds,8,21
Dichotomic Shield,101,tbm,20,22
Unflinching Attention,102,tds,15,21
Pain Doesn't Hurt,102,tbm,18,22
Harmonious Expanse,102,eok,21,23
Insult,103,tds,9,21
Tormenting Shout,103,tds,17,21
Harmonious Precision,103,eok,21,23
Calculated Strike,104,tds,9,21
Stormstrike Blades,104,tds,10,21
Warrior's Bulwark,104,tds,16,21
Shield Break,104,eok,22,23
Strike Through,105,tds,12,21
Field Protector,105,tds,-1,21
Stout Defense,105,tds,-1,21
Hiatus,106,ros,13,24
Armor of Tenacious Runes,106,ros,5,24
Kluzen's Roar,106,ros,8,24
Dissident Shield,106,tbl,20,26
Unyielding Attention,107,ros,15,24
Biting Tongue Discipline,107,ros,4,24
Concordant Expanse,107,tbl,21,26
Slander,108,ros,9,24
Burning Shout,108,ros,17,24
Culminating Stand Discipline,108,ros,2,24
Concordant Precision,108,tbl,21,26
Cunning Strike,109,ros,9,24
Dragonstrike Blades,109,ros,10,24
Warrior's Bastion,109,ros,16,24
Field Champion,110,ros,-1,24
Resolute Defense,110,ros,-1,24
